,X,Y,RSSI_AP1,RSSI_AP2,RSSI_AP3
98,6,9,-50.6936525217336,-54.13514198909137,-64.13514198909138
99,6,10,-59.81644866380495,-54.14476363004597,-69.51955132411393
100,6,11,-54.86398418587007,-55.81644866380494,-65.51955132411395
101,6,12,-61.51955132411394,-68.0,-68.13514198909137
102,6,13,-50.6936525217336,-61.08699876519231,-84.47908685027868
103,6,14,-47.35486325106115,-59.20394205564407,-75.81644866380495
104,6,15,-52.33299223588766,-53.51955132411394,-79.0869987651923
105,6,21,-46.33299223588765,-50.0,-70.6936525217336
106,6,22,-51.08699876519231,-58.6936525217336,-79.35486325106115
107,6,23,-48.6936525217336,-54.93765782790578,-79.21568438651737
108,6,24,-49.08699876519231,-56.86398418587007,-76.01479085526343
109,6,25,-52.0,-53.51955132411394,-74.34896394967114
110,-1,1,-33.09898141385036,-46.0,-70.0
111,-2,1,-29.372844589550247,-46.33299223588765,-74.13514198909138
112,-3,1,-30.33299223588766,-43.96908791613222,-73.0869987651923
113,-4,1,-30.0,-45.519551324113934,-70.0
114,-5,1,-30.0,-45.35486325106114,-69.35486325106115
115,-6,1,-34.0,-45.08699876519231,-67.51955132411393
116,-7,1,-34.0,-43.35486325106115,-69.0869987651923
117,-8,1,-30.33299223588766,-45.08699876519231,-66.6936525217336
118,-9,1,-34.0,-41.51955132411394,-69.51955132411393
119,-10,1,-33.51955132411394,-42.0,-67.51955132411393
120,-11,1,-39.81644866380495,-44.0,-68.0
121,-12,1,-41.85476304968805,-43.94591378158853,-70.33299223588766
122,-13,1,-42.96892805589757,-42.33299223588766,-71.0869987651923
123,-1,2,-32.6936525217336,-49.519551324113934,-72.13514198909137
124,-2,2,-40.0,-46.6936525217336,-70.93765782790578
125,-3,2,-34.0,-46.0,-67.0869987651923
126,-4,2,-33.086998765192305,-46.0,-70.0
127,-5,2,-31.816448663804948,-46.0,-67.51955132411393
128,-6,2,-28.68250582637274,-46.0,-68.0
129,-7,2,-30.0,-49.08699876519231,-66.0
130,-8,2,-30.33299223588766,-44.6936525217336,-68.13514198909137
131,-9,2,-33.086998765192305,-45.519551324113934,-68.85263186564026
132,-10,2,-32.33299223588766,-44.6936525217336,-69.51955132411393
133,-11,2,-36.33299223588766,-44.33299223588766,-73.35486325106115
134,-12,2,-38.0,-42.55704196543415,-71.0869987651923
135,-13,2,-40.0,-45.519551324113934,-72.33299223588766
136,-14,2,-38.33299223588766,-45.53279080303809,-71.19619278838923
137,-15,2,-40.6936525217336,-55.95512476075741,-73.64034143198975
138,-16,2,-41.08699876519231,-47.196192788389226,-70.33299223588766
139,-17,2,-42.93765782790578,-56.71101000645952,-72.33299223588766
140,-18,2,-42.33299223588766,-48.135141989091366,-71.0869987651923
141,-19,2,-43.08699876519231,-53.83062642038991,-75.66193713943673
142,-1,3,-36.33299223588766,-50.0,-66.55704196543414
143,-2,3,-34.0,-48.33299223588766,-68.6936525217336
144,-3,3,-38.0,-52.33299223588766,-66.33299223588766
145,-4,3,-33.51955132411394,-48.0,-65.0869987651923
146,-5,3,-37.08699876519231,-46.0,-64.13514198909138
147,-6,3,-34.937657827905774,-48.6936525217336,-65.0869987651923
148,-7,3,-32.33299223588766,-46.6936525217336,-66.0
149,-8,3,-31.086998765192305,-46.9647798859399,-65.81644866380495
150,-9,3,-32.479086850278684,-49.389299010641295,-69.2714972049561
151,-10,3,-33.51955132411394,-48.0,-70.6936525217336
152,-11,3,-34.0,-48.6936525217336,-68.33299223588766
153,-12,3,-38.0,-49.85476304968805,-67.51955132411393
154,-13,3,-36.47908685027868,-49.08699876519231,-70.0
155,-14,3,-36.6936525217336,-51.51955132411394,-69.51955132411393
156,-15,3,-37.81644866380495,-50.0,-69.0869987651923
157,-16,3,-38.0,-56.28456074153284,-74.0
158,-17,3,-39.08699876519231,-53.08699876519231,-70.0
159,-18,3,-40.6936525217336,-53.08699876519231,-78.71101000645952
160,-19,3,-42.0,-52.6936525217336,-70.6936525217336
161,-1,4,-38.0,-46.0,-66.95192637167567
162,-2,4,-38.0,-48.33299223588766,-70.0
163,-3,4,-38.0,-49.08699876519231,-67.0869987651923
164,-4,4,-37.51955132411394,-48.33299223588766,-66.0
165,-5,4,-37.08699876519231,-45.519551324113934,-66.0
166,-6,4,-32.6936525217336,-46.9647798859399,-66.33299223588766
167,-7,4,-33.51955132411394,-46.33299223588765,-66.71101000645952
168,-8,4,-34.0,-47.81644866380495,-68.6936525217336
169,-9,4,-33.51955132411394,-49.08699876519231,-69.0869987651923
170,-10,4,-33.086998765192305,-47.519551324113934,-69.0869987651923
171,-11,4,-34.0,-51.64034143198975,-74.0
172,-12,4,-34.0,-49.519551324113934,-74.33299223588766
173,-13,4,-35.086998765192305,-50.33299223588766,-71.35486325106115
174,-14,4,-37.51955132411394,-49.08699876519231,-71.81644866380495
175,-15,4,-38.0,-45.519551324113934,-79.35486325106115
176,-16,4,-39.519551324113934,-47.196192788389226,-74.93765782790578
177,-17,4,-39.35486325106115,-45.519551324113934,-82.6936525217336
178,-18,4,-39.08699876519231,-41.51955132411394,-73.51955132411393
