SSID,X,Y,RSSI (avg)
ESP_Beacon_three,5,4,-68.6936525217336
ESP_Beacon_three,5,5,-60.47908685027869
ESP_Beacon_three,5,6,-74.01479085526344
ESP_Beacon_three,5,7,-63.08699876519231
ESP_Beacon_three,5,8,-65.51955132411395
ESP_Beacon_three,5,9,-72.6936525217336
ESP_Beacon_three,5,10,-70.33299223588766
ESP_Beacon_three,5,11,-67.51955132411393
ESP_Beacon_three,5,12,-63.81644866380495
ESP_Beacon_three,5,13,-64.47908685027868
ESP_Beacon_three,5,14,-63.66193713943672
ESP_Beacon_three,5,15,-66.33299223588766
ESP_Beacon_three,5,16,-66.33299223588766
ESP_Beacon_three,5,17,-69.0869987651923
ESP_Beacon_three,5,18,-69.51955132411393
ESP_Beacon_three,5,19,-72.85263186564026
ESP_Beacon_three,5,20,-72.6936525217336
ESP_Beacon_three,5,21,-75.0869987651923
ESP_Beacon_three,5,22,-77.0869987651923
ESP_Beacon_three,5,23,-79.0869987651923
ESP_Beacon_three,5,24,-78.34896394967114
ESP_Beacon_three,5,25,-77.66193713943673
ESP_Beacon_three,6,1,-71.35486325106115
ESP_Beacon_three,6,2,-71.64892597644798
ESP_Beacon_three,6,3,-70.13514198909137
ESP_Beacon_three,6,4,-69.51955132411393
ESP_Beacon_three,6,5,-74.13514198909138
ESP_Beacon_three,6,6,-66.0
ESP_Beacon_three,6,7,-73.0869987651923
ESP_Beacon_three,6,8,-71.0869987651923
ESP_Beacon_three,6,9,-67.84168032868752
ESP_Beacon_three,6,10,-69.51955132411393
ESP_Beacon_three,6,11,-74.0
ESP_Beacon_three,6,12,-73.51955132411393
ESP_Beacon_three,6,13,-70.0
ESP_Beacon_three,6,14,-69.0869987651923
ESP_Beacon_three,6,15,-66.6936525217336
ESP_Beacon_three,6,16,-66.6936525217336
ESP_Beacon_three,6,17,-66.33299223588766
ESP_Beacon_three,6,18,-69.51955132411393
ESP_Beacon_three,6,19,-69.0869987651923
ESP_Beacon_three,6,20,-68.71101000645952
ESP_Beacon_three,6,21,-73.0869987651923
ESP_Beacon_three,6,22,-75.81644866380495
ESP_Beacon_three,6,23,-75.94591378158853
ESP_Beacon_three,6,24,-77.51955132411393
ESP_Beacon_three,6,25,-80.69365252173358
ESP_Beacon_three,7,1,-72.15040115828074
ESP_Beacon_three,7,2,-66.6936525217336
