SSID,X,Y,RSSI (avg)
ESP_Beacon_three,-14,2,-71.19619278838923
ESP_Beacon_three,-15,2,-73.64034143198975
ESP_Beacon_three,-16,2,-70.33299223588766
ESP_Beacon_three,-17,2,-72.33299223588766
ESP_Beacon_three,-18,2,-71.0869987651923
ESP_Beacon_three,-19,2,-75.66193713943673
ESP_Beacon_three,-1,3,-66.55704196543414
ESP_Beacon_three,-2,3,-68.6936525217336
ESP_Beacon_three,-3,3,-66.33299223588766
ESP_Beacon_three,-4,3,-65.0869987651923
ESP_Beacon_three,-5,3,-64.13514198909138
ESP_Beacon_three,-6,3,-65.0869987651923
ESP_Beacon_three,-7,3,-66.0
ESP_Beacon_three,-8,3,-65.81644866380495
ESP_Beacon_three,-9,3,-69.2714972049561
ESP_Beacon_three,-10,3,-70.6936525217336
ESP_Beacon_three,-11,3,-68.33299223588766
ESP_Beacon_three,-12,3,-67.51955132411393
ESP_Beacon_three,-13,3,-70.0
ESP_Beacon_three,-14,3,-69.51955132411393
ESP_Beacon_three,-15,3,-69.0869987651923
ESP_Beacon_three,-16,3,-74.0
ESP_Beacon_three,-17,3,-70.0
ESP_Beacon_three,-18,3,-78.71101000645952
ESP_Beacon_three,-19,3,-70.6936525217336
ESP_Beacon_three,-1,4,-66.95192637167567
ESP_Beacon_three,-2,4,-70.0
ESP_Beacon_three,-3,4,-67.0869987651923
ESP_Beacon_three,-4,4,-66.0
ESP_Beacon_three,-5,4,-66.0
ESP_Beacon_three,-6,4,-66.33299223588766
ESP_Beacon_three,-7,4,-66.71101000645952
ESP_Beacon_three,-8,4,-68.6936525217336
ESP_Beacon_three,-9,4,-69.0869987651923
ESP_Beacon_three,-10,4,-69.0869987651923
ESP_Beacon_three,-11,4,-74.0
ESP_Beacon_three,-12,4,-74.33299223588766
ESP_Beacon_three,-13,4,-71.35486325106115
ESP_Beacon_three,-14,4,-71.81644866380495
ESP_Beacon_three,-15,4,-79.35486325106115
ESP_Beacon_three,-16,4,-74.93765782790578
ESP_Beacon_three,-17,4,-82.6936525217336
ESP_Beacon_three,-18,4,-73.51955132411393
ESP_Beacon_three,-19,4,-74.71101000645952
ESP_Beacon_three,-1,5,-66.6936525217336
ESP_Beacon_three,-2,5,-67.0869987651923
ESP_Beacon_three,-3,5,-66.55704196543414
ESP_Beacon_three,-4,5,-65.0869987651923
ESP_Beacon_three,-5,5,-64.6936525217336
ESP_Beacon_three,-6,5,-65.51955132411395
ESP_Beacon_three,-7,5,-66.6936525217336
ESP_Beacon_three,-8,5,-70.33299223588766
ESP_Beacon_three,-9,5,-70.6936525217336
ESP_Beacon_three,-10,5,-70.13514198909137
ESP_Beacon_three,-11,5,-69.0869987651923
ESP_Beacon_three,-12,5,-74.57386091339968
ESP_Beacon_three,-13,5,-78.71101000645952
ESP_Beacon_three,-14,5,-78.93765782790578
ESP_Beacon_three,-15,5,-71.10600533797233
ESP_Beacon_three,-16,5,-78.34896394967114
ESP_Beacon_three,-17,5,-72.96335257243821
ESP_Beacon_three,-18,5,-76.6936525217336
ESP_Beacon_three,-19,5,-74.93765782790578
ESP_Beacon_three,-1,6,-68.13514198909137
ESP_Beacon_three,-2,6,-66.33299223588766
ESP_Beacon_three,-3,6,-65.51955132411395
ESP_Beacon_three,-4,6,-63.81644866380495
ESP_Beacon_three,-5,6,-63.08699876519231
ESP_Beacon_three,-6,6,-64.13514198909138
ESP_Beacon_three,-7,6,-65.51955132411395
ESP_Beacon_three,-8,6,-66.0
ESP_Beacon_three,-9,6,-67.0869987651923
ESP_Beacon_three,-10,6,-69.51955132411393
ESP_Beacon_three,-11,6,-73.0869987651923
ESP_Beacon_three,-12,6,-72.33299223588766
ESP_Beacon_three,-13,6,-73.51955132411393
ESP_Beacon_three,-14,6,-69.2868646532889
ESP_Beacon_three,-15,6,-76.13514198909137
ESP_Beacon_three,-16,6,-73.10600533797233
ESP_Beacon_three,-17,6,-75.64034143198975
ESP_Beacon_three,-18,6,-75.81644866380495
ESP_Beacon_three,-19,6,-78.47908685027869
ESP_Beacon_three,0,-1,-68.85263186564026
ESP_Beacon_three,-1,-1,-82.71101000645953
ESP_Beacon_three,-2,-1,-70.6936525217336
ESP_Beacon_three,-3,-1,-70.6936525217336
ESP_Beacon_three,-4,-1,-70.0
ESP_Beacon_three,-5,-1,-71.81644866380495
ESP_Beacon_three,-6,-1,-68.33299223588766
ESP_Beacon_three,-7,-1,-70.0
ESP_Beacon_three,-8,-1,-67.81644866380495
ESP_Beacon_three,-9,-1,-69.51955132411393
ESP_Beacon_three,-10,-1,-69.51955132411393
ESP_Beacon_three,-11,-1,-69.51955132411393
ESP_Beacon_three,-12,-1,-69.51955132411393
ESP_Beacon_three,-13,-1,-69.51955132411393
ESP_Beacon_three,-14,-1,-68.85263186564026
ESP_Beacon_three,-15,-1,-73.85319189027813
ESP_Beacon_three,-16,-1,-74.34896394967114
ESP_Beacon_three,-17,-1,-72.6936525217336
ESP_Beacon_three,-18,-1,-73.85319189027813
ESP_Beacon_three,-19,-1,-72.85263186564026
ESP_Beacon_three,0,-2,-72.34896394967114
ESP_Beacon_three,-1,-2,-74.39052334930021
ESP_Beacon_three,-2,-2,-69.51955132411393
ESP_Beacon_three,-3,-2,-74.01479085526344
ESP_Beacon_three,-4,-2,-73.0869987651923
ESP_Beacon_three,-5,-2,-69.51955132411393
ESP_Beacon_three,-6,-2,-70.33299223588766
ESP_Beacon_three,-7,-2,-68.33299223588766
ESP_Beacon_three,-8,-2,-69.51955132411393
ESP_Beacon_three,-9,-2,-69.0869987651923
ESP_Beacon_three,-10,-2,-71.35486325106115
ESP_Beacon_three,-11,-2,-72.6936525217336
ESP_Beacon_three,-12,-2,-72.13514198909137
ESP_Beacon_three,-13,-2,-72.85263186564026
ESP_Beacon_three,-14,-2,-75.0869987651923
ESP_Beacon_three,-15,-2,-73.35486325106115
ESP_Beacon_three,-16,-2,-69.55385698922528
ESP_Beacon_three,-17,-2,-75.64034143198975
ESP_Beacon_three,-18,-2,-72.6936525217336
ESP_Beacon_three,-19,-2,-74.59074524951515
ESP_Beacon_three,0,-3,-73.51955132411393
ESP_Beacon_three,-1,-3,-82.33299223588766
ESP_Beacon_three,-2,-3,-69.51955132411393
ESP_Beacon_three,-3,-3,-70.33299223588766
ESP_Beacon_three,-4,-3,-70.33299223588766
ESP_Beacon_three,-5,-3,-70.0
ESP_Beacon_three,-6,-3,-71.0869987651923
ESP_Beacon_three,-7,-3,-69.0869987651923
ESP_Beacon_three,-8,-3,-69.51955132411393
ESP_Beacon_three,-9,-3,-69.51955132411393
ESP_Beacon_three,-10,-3,-70.93765782790578
ESP_Beacon_three,-11,-3,-71.64034143198974
ESP_Beacon_three,-12,-3,-69.0869987651923
ESP_Beacon_three,-13,-3,-71.51955132411393
ESP_Beacon_three,-14,-3,-71.35486325106115
ESP_Beacon_three,-15,-3,-71.10600533797233
ESP_Beacon_three,-16,-3,-75.81644866380495
ESP_Beacon_three,-17,-3,-74.0
ESP_Beacon_three,-18,-3,-74.33299223588766
ESP_Beacon_three,-19,-3,-78.93765782790578
ESP_Beacon_three,0,-4,-78.13514198909137
ESP_Beacon_three,-1,-4,-72.39052334930021
ESP_Beacon_three,-2,-4,-69.51955132411393
ESP_Beacon_three,-3,-4,-71.81644866380495
ESP_Beacon_three,-4,-4,-73.35486325106115
ESP_Beacon_three,-5,-4,-72.33299223588766
ESP_Beacon_three,-6,-4,-70.0
ESP_Beacon_three,-7,-4,-68.13514198909137
ESP_Beacon_three,-8,-4,-69.51955132411393
ESP_Beacon_three,-9,-4,-70.33299223588766
ESP_Beacon_three,-10,-4,-71.64034143198974
ESP_Beacon_three,-11,-4,-76.85263186564026
ESP_Beacon_three,-12,-4,-73.35486325106115
ESP_Beacon_three,-13,-4,-73.81644866380495
ESP_Beacon_three,-14,-4,-72.0
ESP_Beacon_three,-15,-4,-74.15040115828074
ESP_Beacon_three,-16,-4,-80.47908685027869
ESP_Beacon_three,-17,-4,-70.93765782790578
ESP_Beacon_three,-18,-4,-77.55385698922528
ESP_Beacon_three,-19,-4,-80.33299223588764
ESP_Beacon_three,0,-5,-76.55704196543414
ESP_Beacon_three,-1,-5,-74.6936525217336
ESP_Beacon_three,-2,-5,-74.47908685027868
ESP_Beacon_three,-3,-5,-71.35486325106115
ESP_Beacon_three,-4,-5,-69.51955132411393
ESP_Beacon_three,-5,-5,-71.51955132411393
ESP_Beacon_three,-6,-5,-71.77176993246773
ESP_Beacon_three,-7,-5,-70.33299223588766
ESP_Beacon_three,-8,-5,-70.94191294451034
ESP_Beacon_three,-9,-5,-70.93765782790578
ESP_Beacon_three,-10,-5,-70.6936525217336
ESP_Beacon_three,-11,-5,-65.8418830907228
ESP_Beacon_three,-12,-5,-70.6936525217336
ESP_Beacon_three,-13,-5,-74.95602057068756
ESP_Beacon_three,-14,-5,-76.47908685027869
ESP_Beacon_three,-15,-5,-73.72383315632278
ESP_Beacon_three,-16,-5,-72.71101000645953
ESP_Beacon_three,-17,-5,-75.19619278838923
ESP_Beacon_three,-18,-5,-75.35486325106115
ESP_Beacon_three,-19,-5,-77.81644866380495
ESP_Beacon_three,0,-6,-75.09898141385037
ESP_Beacon_three,-1,-6,-77.81644866380495
ESP_Beacon_three,-2,-6,-74.33299223588766
ESP_Beacon_three,-3,-6,-71.0869987651923
ESP_Beacon_three,-4,-6,-71.81644866380495
ESP_Beacon_three,-5,-6,-72.6936525217336
ESP_Beacon_three,-6,-6,-72.6936525217336
ESP_Beacon_three,-7,-6,-71.35486325106115
ESP_Beacon_three,-8,-6,-72.93765782790578
ESP_Beacon_three,-9,-6,-72.13514198909137
ESP_Beacon_three,-10,-6,-73.51955132411393
ESP_Beacon_three,-11,-6,-72.47908685027869
ESP_Beacon_three,-12,-6,-77.35486325106115
ESP_Beacon_three,-13,-6,-76.13514198909137
